factor,family,status,best_abs_rankic,mean_abs_rankic,stable_count,mean_consistency,best_orthogonality,closest_active_factor,best_decision,max_coverage,quality_score
earnings_accel_proxy,industry,candidate,0.1626,0.1154,3,100.0,0.4273,rev_growth_accel,PROMOTE_TO_TRIAL,100.0,29.68
ai_mfg_heat_proxy,industry,candidate,0.0779,0.0393,1,70.0,0.0529,ROC20,PROMOTE_TO_TRIAL,96.9,15.88
gap_ret_20d,behavior,candidate,0.0712,0.0472,2,78.3,0.2778,gap_ret_10d,PROMOTE_TO_TRIAL,98.4,19.95
price_position_z30,behavior,watch,0.0661,0.0439,1,78.3,0.2574,price_position,PROMOTE_TO_TRIAL,94.9,17.17
roc15,trend,watch,0.0651,0.0385,1,78.3,0.1421,ROC20,PROMOTE_TO_TRIAL,97.7,16.33
liquidity_stress_proxy,macro,candidate,0.053,0.03,1,71.7,0.3055,gap_ret_10d,PROMOTE_TO_TRIAL,98.4,16.37
high52w_x_vol_surge,trend,candidate,0.0515,0.0477,3,100.0,0.1338,high52w_pos,PROMOTE_TO_TRIAL,80.7,19.51
price_position_z20,behavior,candidate,0.0461,0.0328,1,82.2,0.3524,price_position,PROMOTE_TO_TRIAL,95.6,16.6
roc60,trend,watch,0.091,0.0459,0,100.0,0.3516,high52w_pos,WATCH,90.6,15.41
ai_mfg_leader_proxy,industry,candidate,0.0837,0.0383,0,68.3,0.0657,ROC20,WATCH,80.7,12.23
roc30,trend,watch,0.0742,0.0304,0,58.9,0.1737,ROC20,WATCH,95.3,13.44
quality_flow_proxy,industry,watch,0.0715,0.0333,0,63.3,0.0483,cash_flow_ps,WATCH,97.0,13.27
policy_beta_proxy,macro,candidate,0.0584,0.0225,0,48.3,0.0856,price_position,WATCH,97.0,12.38
price_position_z60,other,watch,0.0511,0.0364,0,70.0,0.1444,price_position,WATCH,92.5,13.61
mfdfa_x_vol_surge,industry,watch,0.0484,0.0456,0,86.7,0.6716,hq2_120d,WATCH,72.1,15.13
intraday_ret_5d,behavior,watch,0.0247,0.0139,0,83.3,0.1538,ROC5,WATCH,99.7,12.13
amihud_30d,behavior,candidate,0.0168,0.0107,1,45.6,0.0275,amihud_20d,REJECT_DUPLICATE,97.7,12.98
gap_ret_5d,behavior,candidate,0.0185,0.0102,1,64.5,0.272,gap_ret_10d,REJECT,99.5,14.33
mfdfa_x_roc10,fractal,candidate,0.0122,0.009,0,58.3,0.2819,mfdfa_x_roc20,REJECT,72.1,9.52
amihud_10d,behavior,candidate,0.0026,0.0012,1,41.7,0.0648,amihud_20d,REJECT,99.2,12.36
