factor,family,horizon,n,coverage,ic,rankic,q5_q1_ret_diff_pct,q5_q1_up_diff_pp,first_half_rankic,second_half_rankic,stable_halves,status,cross_symbol_consistency,max_corr_active,closest_active_factor,orthogonality_score,decision_hint
gap_ret_5d,behavior,5,8928,99.7,0.0368,0.0073,0.54,2.52,0.0173,-0.0032,False,candidate,50.0,0.4249,-DI,0.5751,REJECT
gap_ret_5d,behavior,10,8883,99.7,0.0669,0.0127,1.24,3.55,-0.0176,0.0305,False,candidate,50.0,0.4249,-DI,0.5751,REJECT
gap_ret_5d,behavior,30,8703,99.7,0.0718,0.0287,3.98,5.51,-0.0064,0.0362,False,candidate,50.0,0.4249,-DI,0.5751,WATCH
atr_pct_z20,volatility,5,8793,98.2,0.0231,0.0084,0.52,2.22,0.0095,0.0085,False,candidate,50.0,0.4924,vol_surge,0.5076,REJECT
atr_pct_z20,volatility,10,8748,98.2,0.02,-0.0057,0.53,-1.6,-0.0105,-0.001,False,candidate,62.5,0.4924,vol_surge,0.5076,REJECT
atr_pct_z20,volatility,30,8568,98.2,0.01,0.0113,0.6,0.41,0.0405,-0.0018,False,candidate,66.7,0.4924,vol_surge,0.5076,REJECT
roc30,trend,5,8685,97.0,0.0463,0.0002,0.25,1.5,0.0035,-0.0208,False,candidate,40.0,0.8373,ROC20,0.1627,REJECT
roc30,trend,10,8640,97.0,0.0492,0.0031,0.66,1.56,0.004,-0.0219,False,candidate,28.6,0.8373,ROC20,0.1627,REJECT
roc30,trend,30,8460,97.0,0.022,-0.0179,1.6,5.14,-0.0172,-0.0646,False,candidate,85.7,0.8373,ROC20,0.1627,REJECT
high52w_x_vol_surge,trend,5,7839,87.6,0.0429,0.0218,0.75,5.42,-0.0327,-0.0039,False,candidate,44.4,0.8638,high52w_pos,0.1362,REJECT_DUPLICATE
high52w_x_vol_surge,trend,10,7794,87.6,0.0513,0.0219,1.35,4.43,-0.0547,-0.0189,False,candidate,44.4,0.8638,high52w_pos,0.1362,REJECT_DUPLICATE
high52w_x_vol_surge,trend,30,7614,87.6,0.0678,0.05,2.61,10.37,0.0181,-0.0551,False,candidate,37.5,0.8638,high52w_pos,0.1362,WATCH
vix_z20_x_high52w,macro,5,7319,81.8,-0.0112,-0.0023,-0.11,0.41,0.0469,-0.0639,False,candidate,40.0,0.8863,vix_z20,0.1137,REJECT
vix_z20_x_high52w,macro,10,7274,81.8,-0.0009,-0.0262,-0.08,0.07,0.0088,-0.0767,False,candidate,50.0,0.8863,vix_z20,0.1137,REJECT_DUPLICATE
vix_z20_x_high52w,macro,30,7094,81.8,0.0202,-0.0027,0.94,0.7,-0.0048,-0.0201,False,candidate,60.0,0.8863,vix_z20,0.1137,REJECT
vix_z20_x_vol_surge,macro,5,7424,83.0,-0.0313,-0.0193,-0.71,-3.37,0.0212,-0.0659,False,candidate,62.5,0.9645,vix_z20,0.0355,REJECT_DUPLICATE
vix_z20_x_vol_surge,macro,10,7379,83.0,-0.0257,-0.0451,-1.04,-4.07,0.0114,-0.1116,False,candidate,75.0,0.9645,vix_z20,0.0355,WATCH
vix_z20_x_vol_surge,macro,30,7199,83.0,-0.0025,-0.0181,-0.72,-4.31,-0.0121,-0.048,False,candidate,71.4,0.9645,vix_z20,0.0355,REJECT_DUPLICATE
