factor,family,status,best_abs_rankic,mean_abs_rankic,stable_count,mean_consistency,best_orthogonality,closest_active_factor,best_decision,max_coverage,quality_score
vix_z20_z20,macro,watch,0.0451,0.0294,1,75.5,0.1956,vix_z20,PROMOTE_TO_TRIAL,82.3,14.15
vix_ma20_diff_x_roc20,macro,watch,0.0419,0.0331,3,84.7,0.8043,adx_accel,PROMOTE_TO_TRIAL,83.0,21.63
high52w_x_vol_surge,trend,candidate,0.05,0.0312,0,42.1,0.1362,high52w_pos,WATCH,87.6,12.56
gap_ret_15d,behavior,watch,0.0491,0.0361,0,61.1,0.3777,ROC20,WATCH,99.3,15.43
vix_z20_x_vol_surge,macro,candidate,0.0451,0.0275,0,69.6,0.0355,vix_z20,WATCH,83.0,11.23
vix_z20_x_atr_pct,macro,candidate,0.0429,0.0202,0,78.2,0.1378,vix_z20,WATCH,83.1,11.02
gap_ret_10d,behavior,watch,0.0373,0.0274,0,61.7,0.4557,ROC20,WATCH,99.5,14.97
gap_ret_8d,behavior,watch,0.036,0.0249,0,55.6,0.5019,ROC20,WATCH,99.6,14.96
roc60,trend,watch,0.0327,0.0198,0,63.9,0.3328,DIF,WATCH,94.0,13.04
vol_change_z20,other,watch,0.03,0.0192,0,61.9,0.2188,vol_surge,WATCH,98.2,12.83
gap_ret_5d,behavior,candidate,0.0287,0.0162,0,50.0,0.5751,-DI,WATCH,99.7,14.47
gap_ret_3d,behavior,watch,0.0259,0.0161,0,60.0,0.6318,-DI,WATCH,99.7,14.74
mfdfa_x_high52w,industry,watch,0.0219,0.0139,0,48.2,0.2992,mfdfa_width_120d,WATCH,82.1,11.1
mfdfa_x_roc10,fractal,watch,0.0215,0.0137,0,55.7,0.254,mfdfa_x_roc20,WATCH,82.1,10.85
vol_change_x_high52w,industry,watch,0.032,0.0246,1,59.3,0.1183,vol_surge,REJECT_DUPLICATE,87.6,13.81
ai_chain_leader_proxy,industry,candidate,0.0273,0.0125,1,68.0,0.0962,ROC20,REJECT_DUPLICATE,87.6,12.49
ai_chain_heat_proxy,industry,candidate,0.0263,0.0215,0,69.0,0.0472,ROC20,REJECT_DUPLICATE,98.0,12.19
vix_z20_x_high52w,macro,candidate,0.0262,0.0104,0,50.0,0.1137,vix_z20,REJECT_DUPLICATE,81.8,9.79
vix_roc5_x_vol_surge,macro,candidate,0.0163,0.0139,0,62.1,0.0311,vix_roc5,REJECT_DUPLICATE,84.2,9.97
roc30,trend,candidate,0.0179,0.0071,0,51.4,0.1627,ROC20,REJECT,97.0,11.22
atr_pct_z20,volatility,candidate,0.0113,0.0085,0,59.7,0.5076,vol_surge,REJECT,98.2,13.21
ai_chain_vol_proxy,industry,watch,0.0088,0.0054,0,52.3,0.4954,high52w_pos,REJECT,87.6,11.78
