market,symbol,name,as_of,model,lookback,pred_len,last_close,pred_close_5d,pred_ret_5d_pct,direction
CN,300750,宁德时代,2026-04-23,mini,180,5,438.9,405.0478,-7.71,看跌
CN,600519,贵州茅台,2026-04-23,mini,180,5,1419.0,1399.0977,-1.4,看跌
CN,601600,中国铝业,2026-04-23,mini,180,5,11.9,10.1889,-14.38,看跌
CN,300274,阳光电源,2026-04-23,mini,180,5,134.5,133.4094,-0.81,震荡
CN,600745,闻泰科技,2026-04-23,mini,180,5,28.35,31.7972,12.16,看涨
US,NVDA,英伟达,2026-04-23,mini,180,5,199.64,189.8177,-4.92,看跌
US,TSM,台积电,2026-04-23,mini,180,5,382.66,354.876,-7.26,看跌
US,MU,美光科技,2026-04-23,mini,180,5,481.72,469.3984,-2.56,看跌
US,WDC,西部数据,2026-04-23,mini,180,5,403.12,371.3195,-7.89,看跌
US,TSLA,特斯拉,2026-04-23,mini,180,5,373.72,413.6418,10.68,看涨
US,GOOGL,谷歌,2026-04-23,mini,180,5,338.89,333.024,-1.73,看跌
US,AAPL,苹果,2026-04-23,mini,180,5,273.43,274.3246,0.33,震荡
US,TCOM,携程,2026-04-23,mini,180,5,52.95,57.251,8.12,看涨
US,FUTU,富途控股,2026-04-23,mini,180,5,154.18,171.5061,11.24,看涨
